"","STATION","STATION_NAME","ELEVATION","LATITUDE","LONGITUDE","DATE","HPCP","Measurement.Flag","Quality.Flag","month"
"1","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-01-01 01:00:00,0,"g"," ",1
"2","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-01-01 02:00:00,999.99,"{"," ",1
"3","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-02-01 00:00:00,999.99,"}"," ",2
"4","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-02-01 01:00:00,0.1," "," ",2
"5","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-02-22 11:00:00,999.99,"["," ",2
"6","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-02-22 12:00:00,999.99,"]"," ",2
"7","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-02-23 03:00:00,0.1," "," ",2
"8","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-02-23 05:00:00,0.1," "," ",2
"9","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-03-01 01:00:00,0,"g"," ",3
"10","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-03-01 02:00:00,999.99,"["," ",3
"11","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-01 00:00:00,999.99,"]"," ",4
"12","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-01 01:00:00,0,"g"," ",4
"13","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-03 03:00:00,0.1," "," ",4
"14","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-03 07:00:00,0.1," "," ",4
"15","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-03 08:00:00,0.1," "," ",4
"16","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-03 09:00:00,0.1," "," ",4
"17","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-03 16:00:00,0.1," "," ",4
"18","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-13 19:00:00,0.1," "," ",4
"19","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-14 22:00:00,0.1," "," ",4
"20","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-14 23:00:00,0.2," "," ",4
"21","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-15 00:00:00,0.1," "," ",4
"22","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-04-26 22:00:00,0.1," "," ",4
"23","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-05-01 01:00:00,0,"g"," ",5
"24","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-05-06 20:00:00,0.1," "," ",5
"25","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-05-06 22:00:00,0.1," "," ",5
"26","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-05-07 06:00:00,0.1," "," ",5
"27","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-05-07 09:00:00,0.1," "," ",5
"28","COOP:050843","BOULDER 2 CO US",1650.5,40.0338,-105.2811,2012-05-07 10:00:00,0.1," "," ",5
